"Gene","MeanDecreaseAccuracy","MeanDecreaseGini"
"DLC1",1.00100150250438,0.0399427392009435
"DMPK",1.00100150250438,0.00993788819875776
"DNAJB4",1.00100150250438,0.00666666666666667
"DNASE2",1.00100150250438,0.00266666666666667
"DNM3",1.00100150250438,0.026634382566586
"DNTT",1.00100150250438,0.0136111111111111
"DRD4",1.00100150250438,0.00388983050847457
"DYRK3",1.00100150250438,0.00723809523809524
"DYSF",1.00100150250438,0.00190243902439025
"EFNA4",1.00100150250438,0.0221883337001981
"EHBP1",1.00100150250438,0.0283705627705628
"EIF1AY",1.00100150250438,0.010590799031477
"ELOVL6",1.00100150250438,0.0167610829848118
"EYA2",1.00100150250438,0.00770370370370371
"F10",1.00100150250438,0.00693333333333333
"FADS3",1.00100150250438,0.00375177304964539
"FBXO9",1.00100150250438,0.0133464725643897
"FOXRED2",1.00100150250438,0.00718390804597702
"FXYD3",1.00100150250438,0.0038
"FZD4",1.00100150250438,0.00391666666666667
"FZD6",1.00100150250438,0.0073504125054277
"GAB2",1.00100150250438,0.0130909090909091
"GATA4",1.00100150250438,0.006
"GDF10",1.00100150250438,0.0273176557229759
"GDF3",1.00100150250438,0.00759599383667181
"GDI1",1.00100150250438,0.00732293144208037
"GIPR",1.00100150250438,0.0126759259259259
"GLI2",1.00100150250438,0.009
"GMPR",1.00100150250438,0.00830769230769231
"GNMT",1.00100150250438,0.0077827664399093
"GRAP",1.00100150250438,0.00761904761904762
"GRM3",1.00100150250438,0.00363636363636364
"GTPBP4",1.00100150250438,0.003
"HIGD2A",1.00100150250438,0.00380437158469945
"HK3",1.00100150250438,0.0035
"HLA-DOB",1.00100150250438,0.0118638083228247
"HRC",1.00100150250438,0.00666666666666667
"HTRA1",1.00100150250438,0.00768627450980392
"IFI35",1.00100150250438,0.00378947368421053
"IGBP1",1.00100150250438,0.00378701298701299
"IL18R1",1.00100150250438,0.0434025051530046
"IL18RAP",1.00100150250438,0.0036
"IL2",1.00100150250438,0.0338977443609023
"IL7R",1.00100150250438,0.00377073906485671
"IMP4",1.00100150250438,0.0078414442700157
"ITM2C",1.00100150250438,0.0148148148148148
"KIF1B",1.00100150250438,0.0136601307189542
"KLHDC4",1.00100150250438,0.0102722222222222
"KRT10",1.00100150250438,0.00769230769230769
"LAMC1",1.00100150250438,0.0084
"LGALS13",1.00100150250438,0.00666666666666667
"LIF",1.00100150250438,0.00504242424242423
"LRP2BP",1.00100150250438,0.0077090909090909
"LSM2",1.00100150250438,0.0148771929824561
"LST1",1.00100150250438,0.00923076923076923
"LXN",1.00100150250438,0.0192
"LZTFL1",1.00100150250438,0.0219288056206089
"MAD2L1",1.00100150250438,0.003
"MAGEF1",1.00100150250438,0.00533333333333333
"MAP2K7",1.00100150250438,0.00363636363636364
"MAPK13",1.00100150250438,0.00685714285714286
"MATN3",1.00100150250438,0.0139636363636364
"MDFIC",1.00100150250438,0.0173140096618357
"MPO",1.00100150250438,0.0169742623979912
"MTHFD1",1.00100150250438,0.0064
"MTX2",1.00100150250438,0.0275828157349897
"NCR1",1.00100150250438,0.0072
"NELL1",1.00100150250438,0.0210196078431373
"NEUROD4",1.00100150250438,0.00974613583138172
"NFE2",1.00100150250438,0.0142602495543672
"NINJ2",1.00100150250438,0.00392156862745098
"NOVA2",1.00100150250438,0.00791208791208791
"NR0B2",1.00100150250438,0.00806666666666666
"NR1H2",1.00100150250438,0.0358765188834154
"NR1H4",1.00100150250438,0.0141602564102564
"NSD1",1.00100150250438,0.0328533263982576
"NT5M",1.00100150250438,0.045058039425594
"NUBPL",1.00100150250438,0.0196664738770002
"NUDCD3",1.00100150250438,0.025798790593505
"NXF3",1.00100150250438,0.00711111111111111
"ODC1",1.00100150250438,0.00379777907656342
"OGN",1.00100150250438,0.0154545454545455
"PAM",1.00100150250438,0.01472
"PBXIP1",1.00100150250438,0.002
"PCGF1",1.00100150250438,0.00766666666666667
"PDE7B",1.00100150250438,0.0205892431142919
"PEX16",1.00100150250438,0.00765957446808511
"PFKM",1.00100150250438,0.00780695652173912
"PGRMC2",1.00100150250438,0.00723809523809524
"PIGQ",1.00100150250438,0.0192857142857143
"PKD2L1",1.00100150250438,0.00391304347826087
"PLCG2",1.00100150250438,0.00392
"PNMT",1.00100150250438,0.00373333333333333
"PPFIA3",1.00100150250438,0.0275047619047619
"PPP1R13B",1.00100150250438,0.00769230769230769
"PPP2R3C",1.00100150250438,0.00377777777777778
"PRDM13",1.00100150250438,0.003
"PRDX4",1.00100150250438,0.0294312925170068
